_norm_name,학교명,위도,경도,주소,SCHUL_NM,SD_SCHUL_CODE,HS_SC_NM,is_general_high_neis,학생수계,학급수계,2학년학생수,3학년학생수,교사수_알리미,교원총계,일반교사,일반교실,교과교실,특별교실,컴퓨터실,멀티미디어실,체육관,강당,진로상담실,is_general_high
계룡디지텍고,계룡디지텍고등학교,36.33762549,127.4344749,대전광역시 동구 소랑길 64,계룡디지텍고등학교,7430324,특성화고,False,339,27,82,99,51,57,15,21.0,3.0,4,0.0,23.0,2.0,1.0,1.0,False
남대전고,남대전고등학교,36.31074837,127.4278195,대전광역시 중구 보문로111번길 63,남대전고등학교,7430046,일반고,True,625,30,217,238,54,60,33,30.0,8.0,5,1.0,1.0,1.0,0.0,1.0,True
대덕고,대덕고등학교,36.38757339,127.3816844,대전광역시 유성구 대덕대로556번길 158,대덕고등학교,7430030,일반고,True,549,31,188,196,58,73,42,31.0,6.0,9,2.0,0.0,1.0,1.0,1.0,True
대덕소프트웨어마이스터고,대덕소프트웨어마이스터고등학교,36.39202633,127.3630148,대전광역시 유성구 가정북로 76,대덕소프트웨어마이스터고등학교,7430310,특목고,False,181,12,60,57,31,38,18,12.0,10.0,6,0.0,1.0,1.0,1.0,1.0,False
대전가오고,대전가오고등학교,36.3106602,127.4544751,대전광역시 동구 신기로 71,대전가오고등학교,7430241,일반고,True,670,27,213,235,50,57,30,27.0,4.0,5,1.0,0.0,2.0,0.0,0.0,True
대전고,대전고등학교,36.32243054,127.423386,대전광역시 중구 대흥로 110,대전고등학교,7430031,자율고,True,935,38,304,298,71,89,52,2.0,44.0,7,2.0,0.0,2.0,0.0,3.0,True
대전과학고,대전과학고등학교,36.37419466,127.3714358,대전광역시 유성구 과학로 46,대전과학고등학교,7430032,특목고,False,284,18,92,96,55,66,35,6.0,14.0,79,1.0,0.0,1.0,1.0,2.0,False
대전관저고,대전관저고등학교,36.31080711,127.3377631,대전광역시 서구 관저북로 94,대전관저고등학교,7430033,일반고,True,710,28,229,254,52,65,36,28.0,5.0,8,1.0,0.0,1.0,0.0,0.0,True
대전괴정고,대전괴정고등학교,36.34040306,127.3788431,대전광역시 서구 가장로 15,대전괴정고등학교,7430237,일반고,True,789,32,261,286,59,68,41,32.0,4.0,6,1.0,0.0,1.0,0.0,1.0,True
대전구봉고,대전구봉고등학교,36.29557493,127.3310026,대전광역시 서구 관저서로 36,대전구봉고등학교,7430150,일반고,True,740,29,237,263,55,70,35,29.0,9.0,7,1.0,0.0,1.0,0.0,3.0,True
대전국제통상고,대전국제통상고등학교,36.31386261,127.4075368,대전광역시 중구 서문로 47,대전국제통상고등학교,7430252,특성화고,False,286,28,77,90,51,60,24,28.0,3.0,14,9.0,0.0,1.0,0.0,1.0,False
대전노은고,대전노은고등학교,36.36939669,127.3232157,대전광역시 유성구 노은동로 99,대전노은고등학교,7430143,자율고,True,633,25,208,206,47,58,30,25.0,0.0,16,1.0,0.0,1.0,0.0,1.0,True
대전대성고,대전대성고등학교,36.331971,127.4070779,대전광역시 중구 목동로 23,대전대성고등학교,7430325,자율고,True,1012,31,338,317,58,64,20,31.0,3.0,4,0.0,1.0,1.0,0.0,1.0,True
대전대성여자고,대전대성여자고등학교,36.3377246,127.4405277,대전광역시 동구 대성2길 20,대전대성여자고등학교,7430326,특성화고,False,581,34,194,183,61,67,17,34.0,0.0,22,0.0,0.0,2.0,0.0,1.0,False
대전대신고,대전대신고등학교,36.30895881,127.3800491,대전광역시 서구 오량1길 98,대전대신고등학교,7430048,자율고,True,1039,30,349,337,56,62,37,31.0,0.0,30,1.0,0.0,1.0,1.0,1.0,True
대전도시과학고,대전도시과학고등학교,36.29751392,127.3199445,대전광역시 유성구 진잠로42번길 35,대전도시과학고등학교,7430351,특성화고,False,271,29,67,90,59,69,32,29.0,40.0,6,0.0,1.0,1.0,1.0,1.0,False
대전도안고,대전도안고등학교,36.33692213,127.3373195,대전광역시 유성구 원신흥남로 51,대전도안고등학교,7430290,일반고,True,943,35,309,330,66,75,46,34.0,7.0,5,1.0,0.0,1.0,0.0,1.0,True
대전동산고,대전동산고등학교,36.31611842,127.4044918,대전광역시 중구 문화로 183,대전동산고등학교,7430049,일반고,True,721,34,244,268,61,67,34,33.0,8.0,5,2.0,0.0,3.0,0.0,1.0,True
대전동신과학고,대전동신과학고등학교,36.33285837,127.4743002,대전광역시 동구 옥천로 423,대전동신과학고등학교,7430295,특목고,False,213,15,79,52,37,47,25,15.0,12.0,24,5.0,0.0,1.0,0.0,0.0,False
대전둔산여자고,대전둔산여자고등학교,36.35297303,127.3732835,대전광역시 서구 갈마역로 33,대전둔산여자고등학교,7430034,일반고,True,743,39,255,278,70,86,54,43.0,8.0,6,2.0,0.0,1.0,0.0,1.0,True
대전둔원고,대전둔원고등학교,36.34283137,127.3733872,대전광역시 서구 대덕대로 101,대전둔원고등학교,7430142,일반고,True,740,31,248,263,58,69,43,31.0,8.0,5,1.0,0.0,1.0,0.0,1.0,True
대전만년고,대전만년고등학교,36.36726986,127.3729925,대전광역시 서구 만년로 6,대전만년고등학교,7430035,일반고,True,661,29,218,247,54,72,37,29.0,4.0,8,1.0,0.0,1.0,0.0,1.0,True
대전반석고,대전반석고등학교,36.38691878,127.3135242,대전광역시 유성구 지족로 332,대전반석고등학교,7430238,일반고,True,864,32,279,309,62,74,41,32.0,3.0,5,1.0,0.0,0.0,1.0,1.0,True
대전복수고,대전복수고등학교,36.30377161,127.3735857,대전광역시 서구 혜천로 66,대전복수고등학교,7430253,일반고,True,637,26,209,232,53,66,31,26.0,6.0,6,1.0,0.0,1.0,0.0,1.0,True
대전생활과학고,대전생활과학고등학교,36.3498313,127.4230626,대전광역시 대덕구 동산초교로63번길 12,대전생활과학고등학교,7430329,특성화고,False,463,27,155,146,53,56,18,27.0,0.0,27,3.0,2.0,1.0,0.0,1.0,False
대전성모여자고,대전성모여자고등학교,36.32246468,127.4182965,대전광역시 중구 대흥로 62,대전성모여자고등학교,7430051,일반고,True,504,24,166,185,47,54,26,24.0,16.0,7,1.0,3.0,1.0,0.0,1.0,True
대전송촌고,대전송촌고등학교,36.36346301,127.4459274,대전광역시 대덕구 선비마을로23번길 11,대전송촌고등학교,7430132,자율고,True,960,40,307,297,66,92,49,40.0,2.0,4,1.0,0.0,1.0,0.0,1.0,True
대전신일여자고,대전신일여자고등학교,36.30866941,127.4334058,대전광역시 중구 부사로 48,대전신일여자고등학교,7430133,특성화고,False,468,30,152,140,58,66,21,30.0,0.0,16,5.0,0.0,1.0,0.0,2.0,False
대전여자고,대전여자고등학교,36.33001268,127.4463707,대전광역시 동구 용운로1번길 28-37,대전여자고등학교,7430036,자율고,True,923,38,305,292,73,87,48,48.0,4.0,11,1.0,1.0,0.0,0.0,1.0,True
대전여자상업고,대전여자상업고등학교,36.3338799,127.4216785,대전광역시 중구 대종로550번길 31,대전여자상업고등학교,7430083,특성화고,False,421,30,138,143,58,63,10,30.0,0.0,6,16.0,1.0,1.0,0.0,1.0,False
대전예술고,대전예술고등학교,36.34695405,127.33356,대전광역시 유성구 월드컵대로308번길 33,대전예술고등학교,7430053,일반고,True,394,18,136,132,109,114,19,18.0,2.0,46,1.0,0.0,1.0,0.0,0.0,True
대전외국어고,대전외국어고등학교,36.33658566,127.3656242,대전광역시 서구 신갈마로 19,대전외국어고등학교,7430037,특목고,False,729,30,255,218,61,77,41,30.0,15.0,3,2.0,3.0,0.0,1.0,3.0,False
대전용산고,대전용산고등학교,36.42100777,127.3959054,대전광역시 유성구 용산2로 2-16,대전용산고등학교,7430239,일반고,True,825,32,263,296,65,75,41,32.0,5.0,4,1.0,0.0,1.0,0.0,1.0,True
대전이문고,대전이문고등학교,36.44731214,127.4234779,대전광역시 대덕구 석봉로 15,대전이문고등학교,7430240,일반고,True,482,25,160,165,46,53,20,24.0,11.0,17,1.0,0.0,2.0,2.0,1.0,True
대전전민고,대전전민고등학교,36.39833683,127.3983327,대전광역시 유성구 전민로 63,대전전민고등학교,7430148,일반고,True,614,30,212,209,55,67,38,31.0,1.0,6,1.0,0.0,1.0,0.0,1.0,True
대전전자디자인고,대전전자디자인고등학교,36.41294348,127.3770167,대전광역시 유성구 대덕대로 939,대전전자디자인고등학교,7430311,특성화고,False,334,25,100,84,47,57,26,25.0,0.0,34,0.0,0.0,2.0,0.0,1.0,False
대전제일고,대전제일고등학교,36.31331472,127.3723589,대전광역시 서구 배재로46번길 77,대전제일고등학교,7430242,일반고,True,537,24,180,204,45,50,16,24.0,7.0,6,1.0,0.0,1.0,0.0,2.0,True
대전중앙고,대전중앙고등학교,36.33842277,127.4147891,대전광역시 중구 대종로 634,대전중앙고등학교,7430052,일반고,True,481,27,171,161,52,57,14,27.0,4.0,5,1.0,0.0,2.0,0.0,2.0,True
대전지족고,대전지족고등학교,36.37803212,127.3156568,대전광역시 유성구 노은서로 202,대전지족고등학교,7430149,일반고,True,947,34,312,341,64,79,48,34.0,7.0,10,1.0,0.0,0.0,1.0,1.0,True
대전체육고,대전체육고등학교,36.33651309,127.3406536,대전광역시 유성구 원신흥로40번길 6,대전체육고등학교,7430038,특목고,False,233,9,82,80,26,30,10,12.0,0.0,1,1.0,0.0,14.0,0.0,1.0,False
대전한빛고,대전한빛고등학교,36.28124455,127.3733529,대전광역시 중구 대둔산로 119-37,대전한빛고등학교,7430138,일반고,True,558,24,182,200,45,53,20,24.0,3.0,12,2.0,0.0,1.0,1.0,1.0,True
동대전고,동대전고등학교,36.35628714,127.4236428,대전광역시 대덕구 청림길 33,동대전고등학교,7430039,일반고,True,903,36,303,321,68,74,46,36.0,5.0,8,1.0,0.0,0.0,1.0,1.0,True
동방고,동방고등학교,36.30033708,127.3462432,대전광역시 서구 계백로 1106,동방고등학교,7430244,일반고,True,793,30,263,279,63,71,29,30.0,7.0,5,1.0,1.0,1.0,0.0,2.0,True
동아마이스터고,동아마이스터고등학교,36.34466315,127.4545998,대전광역시 동구 충정로 97,동아마이스터고등학교,7430256,특목고,False,471,30,155,156,71,77,33,30.0,2.0,50,3.0,2.0,1.0,0.0,0.0,False
명석고,명석고등학교,36.35298746,127.4542462,대전광역시 동구 우암로 380,명석고등학교,7430056,일반고,True,673,34,226,246,62,67,27,38.0,0.0,9,2.0,0.0,1.0,1.0,0.0,True
보문고,보문고등학교,36.33697696,127.4241257,대전광역시 동구 우암로 57,보문고등학교,7430057,일반고,True,612,36,224,192,68,77,32,36.0,4.0,6,1.0,0.0,2.0,1.0,1.0,True
서대전고,서대전고등학교,36.36013353,127.3695006,대전광역시 서구 월평동로 60,서대전고등학교,7430059,일반고,True,564,31,196,186,57,64,25,31.0,0.0,9,1.0,0.0,2.0,0.0,1.0,True
서대전여자고,서대전여자고등학교,36.32773715,127.369556,대전광역시 서구 배재로197번길 20,서대전여자고등학교,7430060,일반고,True,389,24,133,126,47,52,14,24.0,7.0,5,1.0,0.0,0.0,1.0,1.0,True
서일고,서일고등학교,36.29332636,127.3236362,대전광역시 서구 계백로828번길 30,서일고등학교,7430061,일반고,True,576,27,194,204,51,56,22,27.0,6.0,4,1.0,0.0,1.0,0.0,1.0,True
서일여자고,서일여자고등학교,36.29429961,127.3235457,대전광역시 서구 구봉산북로 22,서일여자고등학교,7430062,일반고,True,462,24,162,155,45,51,17,24.0,5.0,11,1.0,1.0,1.0,0.0,0.0,True
신탄진고,신탄진고등학교,36.44970668,127.4359505,대전광역시 대덕구 신탄진북로 14,신탄진고등학교,7430041,일반고,True,457,25,149,159,47,59,31,26.0,0.0,7,1.0,0.0,1.0,0.0,0.0,True
우송고,우송고등학교,36.33562875,127.4428489,대전광역시 동구 동대전로131번길 53,우송고등학교,7430140,일반고,True,805,32,264,278,57,63,27,0.0,41.0,6,1.0,1.0,0.0,2.0,1.0,True
유성고,유성고등학교,36.34921738,127.334775,대전광역시 유성구 유성대로654번길 130,유성고등학교,7430042,일반고,True,975,38,332,334,69,83,51,37.0,0.0,6,2.0,0.0,1.0,0.0,1.0,True
유성생명과학고,유성생명과학고등학교,36.34711665,127.3299616,대전광역시 유성구 월드컵대로 270,유성생명과학고등학교,7430135,특성화고,False,557,34,178,165,64,75,32,44.0,1.0,50,1.0,1.0,2.0,0.0,2.0,False
유성여자고,유성여자고등학교,36.38458956,127.3289254,대전광역시 유성구 은구비로138번길 70,유성여자고등학교,7430064,일반고,True,515,24,171,183,46,49,23,24.0,6.0,5,1.0,1.0,1.0,0.0,2.0,True
중일고,중일고등학교,36.42052491,127.3886965,대전광역시 유성구 배울2로 68,중일고등학교,7430065,일반고,True,665,24,211,250,44,52,17,24.0,5.0,5,1.0,0.0,1.0,0.0,0.0,True
청란여자고,청란여자고등학교,36.31073792,127.4295277,대전광역시 중구 보문로95번길 40,청란여자고등학교,7430066,일반고,True,380,24,128,121,45,47,13,24.0,0.0,5,1.0,0.0,1.0,0.0,1.0,True
충남고,충남고등학교,36.34997951,127.3942722,대전광역시 서구 문정로 171,충남고등학교,7430043,자율고,True,875,38,296,276,69,87,52,38.0,7.0,6,1.0,0.0,1.0,0.0,1.0,True
충남기계공업고,충남기계공업고등학교,36.31199421,127.4035731,대전광역시 중구 산성로 154,충남기계공업고등학교,7430073,특성화고,False,690,41,235,239,83,99,54,44.0,65.0,7,0.0,3.0,0.0,1.0,3.0,False
충남여자고,충남여자고등학교,36.32974636,127.4112877,대전광역시 중구 선화로43번길 77,충남여자고등학교,7430044,일반고,True,881,43,281,335,76,90,57,42.0,0.0,5,0.0,0.0,1.0,0.0,1.0,True
한밭고,한밭고등학교,36.34649685,127.3643986,대전광역시 서구 신갈마로141번길 58,한밭고등학교,7430045,일반고,True,733,32,237,280,59,69,44,32.0,4.0,4,1.0,0.0,2.0,2.0,2.0,True
호수돈여자고,호수돈여자고등학교,36.32671701,127.4144851,대전광역시 중구 선화로 50,호수돈여자고등학교,7430067,일반고,True,590,31,199,195,56,63,33,31.0,1.0,3,1.0,0.0,2.0,1.0,1.0,True
