_norm_school,계열,강좌수,고유과목수
남대전고,기타,6,4
남대전고,예체능,2,2
남대전고,인문·사회,8,5
남대전고,자연·공학,8,8
남대전고,정보·AI,3,3
남대전고,제2외국어·국제,1,1
남대전고,진로·융합,3,2
대덕고,자연·공학,5,4
대전가오고,자연·공학,3,2
대전고,인문·사회,4,3
대전고,자연·공학,4,3
대전관저고,인문·사회,1,1
대전관저고,자연·공학,3,2
대전괴정고,기타,3,3
대전괴정고,인문·사회,3,2
대전구봉고,자연·공학,7,4
대전국제통상고,기타,11,9
대전국제통상고,예체능,2,2
대전노은고,기타,2,2
대전노은고,인문·사회,2,2
대전노은고,자연·공학,5,3
대전대성고,기타,2,2
대전대성고,인문·사회,1,1
대전대성고,자연·공학,6,5
대전대성고,정보·AI,3,2
대전대성고,제2외국어·국제,2,2
대전대성여자고,기타,2,2
대전대신고,기타,1,1
대전대신고,인문·사회,6,4
대전대신고,자연·공학,1,1
대전대신고,정보·AI,2,2
대전대신고,제2외국어·국제,2,1
대전도시과학고,기타,4,4
대전도시과학고,인문·사회,1,1
대전도시과학고,진로·융합,1,1
대전도안고,인문·사회,1,1
대전도안고,자연·공학,5,5
대전동산고,기타,2,2
대전동산고,인문·사회,6,4
대전동산고,자연·공학,9,5
대전동신과학고,인문·사회,1,1
대전동신과학고,자연·공학,1,1
대전둔산여자고,인문·사회,1,1
대전둔산여자고,자연·공학,7,5
대전둔산여자고,정보·AI,1,1
대전둔원고,기타,2,2
대전둔원고,인문·사회,2,1
대전둔원고,자연·공학,4,3
대전둔원고,정보·AI,4,2
대전둔원고,제2외국어·국제,1,1
대전만년고,기타,2,2
대전만년고,자연·공학,4,3
대전반석고,예체능,2,2
대전반석고,인문·사회,3,3
대전반석고,자연·공학,8,6
대전복수고,인문·사회,1,1
대전복수고,자연·공학,2,1
대전산업정보고,기타,14,13
대전산업정보고,예체능,2,1
대전산업정보고,자연·공학,1,1
대전산업정보고,정보·AI,3,3
대전산업정보고,진로·융합,1,1
대전생활과학고,기타,3,3
대전생활과학고,인문·사회,3,3
대전성모여고,기타,2,2
대전성모여고,예체능,1,1
대전성모여고,인문·사회,1,1
대전성모여고,자연·공학,4,4
대전성모여자고,기타,3,3
대전성모여자고,인문·사회,1,1
대전성모여자고,자연·공학,2,2
대전송촌고,인문·사회,2,1
대전송촌고,자연·공학,6,4
대전신일여자고,기타,5,5
대전신일여자고,예체능,3,3
대전신일여자고,인문·사회,1,1
대전신일여자고,자연·공학,1,1
대전신일여자고,정보·AI,3,3
대전신일여자고,진로·융합,2,1
대전여자고,기타,2,2
대전여자고,인문·사회,1,1
대전여자고,자연·공학,1,1
대전여자고,정보·AI,1,1
대전여자고,제2외국어·국제,1,1
대전여자고,진로·융합,1,1
대전여자상업고,정보·AI,2,1
대전예술고,예체능,3,2
대전외국어고,기타,1,1
대전외국어고,예체능,4,4
대전외국어고,인문·사회,1,1
대전외국어고,제2외국어·국제,8,5
대전용산고,인문·사회,1,1
대전이문고,기타,1,1
대전전민고,기타,1,1
대전전민고,예체능,1,1
대전전민고,인문·사회,1,1
대전전민고,자연·공학,2,1
대전전민고,제2외국어·국제,1,1
대전전민고,진로·융합,1,1
대전제일고,기타,2,2
대전제일고,예체능,1,1
대전제일고,인문·사회,6,5
대전제일고,자연·공학,3,3
대전제일고,제2외국어·국제,2,1
대전제일고,진로·융합,1,1
대전중앙고,기타,1,1
대전중앙고,인문·사회,3,2
대전중앙고,자연·공학,7,4
대전중앙고,정보·AI,2,1
대전중앙고,제2외국어·국제,2,1
대전지족고,예체능,1,1
대전지족고,자연·공학,3,3
대전한빛고,예체능,1,1
대전한빛고,인문·사회,4,4
대전한빛고,자연·공학,3,2
대전한빛고,제2외국어·국제,1,1
동대전고,자연·공학,1,1
동방고,인문·사회,4,3
동방고,자연·공학,6,5
명석고,기타,2,2
명석고,예체능,2,2
명석고,인문·사회,1,1
명석고,자연·공학,4,4
명석고,제2외국어·국제,5,4
보문고,자연·공학,6,5
서대전고,예체능,2,2
서대전고,인문·사회,5,4
서대전고,자연·공학,4,4
서대전여고,인문·사회,1,1
서대전여고,자연·공학,3,3
서대전여고,제2외국어·국제,1,1
서일고,예체능,1,1
서일고,인문·사회,2,2
서일고,자연·공학,5,3
서일고,정보·AI,1,1
서일여자고,기타,1,1
서일여자고,예체능,1,1
서일여자고,인문·사회,3,2
서일여자고,자연·공학,3,3
서일여자고,정보·AI,1,1
신탄진고,기타,3,3
신탄진고,예체능,2,1
신탄진고,자연·공학,2,2
우송고,인문·사회,3,2
우송고,자연·공학,6,5
우송고,제2외국어·국제,1,1
유성고,예체능,3,3
유성고,자연·공학,5,3
유성고,정보·AI,1,1
유성생명과학고,기타,7,6
유성생명과학고,인문·사회,2,2
유성생명과학고,자연·공학,1,1
유성생명과학고,진로·융합,1,1
유성여고,기타,1,1
유성여고,인문·사회,1,1
유성여고,자연·공학,4,4
유성여자고,기타,1,1
유성여자고,인문·사회,1,1
유성여자고,자연·공학,3,3
중일고,기타,1,1
중일고,인문·사회,3,3
중일고,자연·공학,7,7
중일고,정보·AI,1,1
청란여고,인문·사회,1,1
청란여고,자연·공학,4,4
청란여고,제2외국어·국제,1,1
충남고,기타,2,2
충남고,인문·사회,2,2
충남고,자연·공학,12,7
충남고,정보·AI,4,2
충남고,제2외국어·국제,2,1
충남기계공업고,기타,3,3
충남기계공업고,인문·사회,1,1
충남여자고,기타,1,1
충남여자고,인문·사회,1,1
충남여자고,자연·공학,8,4
충남여자고,정보·AI,1,1
충남여자고,진로·융합,2,1
한밭고,인문·사회,1,1
한밭고,자연·공학,1,1
호수돈여자고,기타,2,2
호수돈여자고,인문·사회,7,6
호수돈여자고,자연·공학,4,4
호수돈여자고,정보·AI,1,1
호수돈여자고,제2외국어·국제,1,1
