ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ENG_SCHUL_NM,SCHUL_KND_SC_NM,LCTN_SC_NM,JU_ORG_NM,FOND_SC_NM,ORG_RDNZC,ORG_RDNMA,ORG_RDNDA,ORG_TELNO,HMPG_ADRES,COEDU_SC_NM,ORG_FAXNO,HS_SC_NM,INDST_SPECL_CCCCL_EXST_YN,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,ENE_BFE_SEHF_SC_NM,DGHT_SC_NM,FOND_YMD,FOAS_MEMRD,LOAD_DTM,is_general_high
G10,대전광역시교육청,7430324,계룡디지텍고등학교,Kyeryong Digitech High School,고등학교,대전광역시,대전광역시교육청,사립,34613 ,대전광역시 동구 소랑길 64,(삼성동),042-630-6000,http://krdhs.djsch.kr,남,042-627-5328,특성화고,Y,전문계,,전기,주간,19491015,19491015,20260423,False
G10,대전광역시교육청,7430046,남대전고등학교,Namdaejeon High School,고등학교,대전광역시,대전광역시교육청,사립,35051 ,대전광역시 중구 보문로111번길 63,"(대사동, 남대전고등학교)",042-253-7111,http://ndjhs.djsch.kr/,남,042-222-1557,일반고,N,일반계,,전기,주간,19730620,19740308,20260423,True
G10,대전광역시교육청,7430030,대덕고등학교,Daedeok High School,고등학교,대전광역시,대전광역시교육청,공립,34121 ,대전광역시 유성구 대덕대로556번길 158,"(도룡동, 대덕고등학교)",042-860-0300,http://daedeokhs.djsch.kr/,남여공학,042-861-1413,일반고,N,일반계,,전기,주간,19801126,19810311,20260423,True
G10,대전광역시교육청,7430310,대덕소프트웨어마이스터고등학교,Daedeok Software Meister High School,고등학교,대전광역시,대전광역시교육청,공립,34111 ,대전광역시 유성구 가정북로 76,"(장동, 대덕소프트웨어마이스터고등학교)",042-866-8822,http://dsmhs.djsch.kr,남여공학,042-867-9900,특목고,N,전문계,,전기,주간,19910914,19910914,20260423,False
G10,대전광역시교육청,7430241,대전가오고등학교,Daejeon Gao High School,고등학교,대전광역시,대전광역시교육청,공립,34691 ,대전광역시 동구 신기로 71,"(가오동, 대전가오고등학교)",042-280-3700,http://gaohs.djsch.kr,남여공학,042-280-3790,일반고,N,일반계,,전기,주간,20070301,20070301,20260423,True
G10,대전광역시교육청,7430031,대전고등학교,Daejeon High School,고등학교,대전광역시,대전광역시교육청,공립,34932 ,대전광역시 중구 대흥로 110,"(대흥동, 대전고등학교)",042-220-6100,djhs.djsch.kr,남,042-220-6130,자율고,N,일반계,,전기,주간,19170401,19170401,20260423,True
G10,대전광역시교육청,7430032,대전과학고등학교,Daejeon Science High School for the Gifted,고등학교,대전광역시,대전광역시교육청,공립,34142 ,대전광역시 유성구 과학로 46,"(구성동, 과학고등학교)",042-860-0207,http://djshs.djsch.kr,남여공학,042-863-5488,특목고,N,일반계,과학계열,전기,주간,19831121,19831121,20260423,False
G10,대전광역시교육청,7430033,대전관저고등학교,DaeJeon GwanJeo High School,고등학교,대전광역시,대전광역시교육청,공립,35358 ,대전광역시 서구 관저북로 94,", 대전관저고등학교 (관저동, 관저고등학교)",042-540-2800,http://gjhs.djsch.kr,남여공학,042-545-2866,일반고,N,일반계,,전기,주간,19980219,19980305,20260423,True
G10,대전광역시교육청,7430237,대전괴정고등학교,Daejeon Goejeong High School,고등학교,대전광역시,대전광역시교육청,공립,35291 ,대전광역시 서구 가장로 15,(괴정동),042-520-8413,http://goejeonghs.djsch.kr,남여공학,042-528-9897,일반고,N,일반계,,전기,주간,20060301,20060301,20260423,True
G10,대전광역시교육청,7430150,대전구봉고등학교,Daejeon Gubong High School,고등학교,대전광역시,대전광역시교육청,공립,35376 ,대전광역시 서구 관저서로 36,", 대전구봉고등학교 (관저동)",042-540-3700,http://gubonghs.djsch.kr/,남여공학,042-540-3799,일반고,N,일반계,,후기,주간,20040301,20040406,20260423,True
G10,대전광역시교육청,7430252,대전국제통상고등학교,Daejeon International Marketing High School,고등학교,대전광역시,대전광역시교육청,공립,34998 ,대전광역시 중구 서문로 47,"(문화동, 대전국제통상고등학교)",042-580-2585,http://dimhs.djsch.kr,남여공학,042-582-6064,특성화고,N,전문계,,전기,주간,19811228,19820310,20260423,False
G10,대전광역시교육청,7430143,대전노은고등학교,Daejeon Noeun High School,고등학교,대전광역시,대전광역시교육청,공립,34091 ,대전광역시 유성구 노은동로 99,", 55 (노은동)",042-717-3600,http://noeunhs.djsch.kr,남여공학,042-476-1449,자율고,N,일반계,,전기,주간,20030218,20030301,20260423,True
G10,대전광역시교육청,7430325,대전대성고등학교,Daejeon Daeseong High School,고등학교,대전광역시,대전광역시교육청,사립,34825 ,대전광역시 중구 목동로 23,(목동),042-250-3888,http://daeseong.hs.kr/,남,042-250-3899,자율고,N,일반계,,전기,주간,19550427,19550427,20260423,True
G10,대전광역시교육청,7430326,대전대성여자고등학교,Daejeon Daeseong Girls' High School,고등학교,대전광역시,대전광역시교육청,사립,34601 ,대전광역시 동구 대성2길 20,(가양동),042-670-2000,http://dsghs.djsch.kr,여,042-632-0551,특성화고,N,전문계,,전기,주간,19641205,19641205,20260423,False
G10,대전광역시교육청,7430048,대전대신고등학교,Daejeon Daeshin High School,고등학교,대전광역시,대전광역시교육청,사립,35406 ,대전광역시 서구 오량1길 98,"(복수동, 대전대신중·고등학교)",042-585-5907,dshs.kr,남,042-583-8061,자율고,N,일반계,,전기,주간,19721226,19721226,20260423,True
G10,대전광역시교육청,7430351,대전도시과학고등학교,Daejeon Urban Science High School,고등학교,대전광역시,대전광역시교육청,공립,34231 ,대전광역시 유성구 진잠로42번길 35,"(원내동, 대전도시과학고등학교)",042-540-2100,https://dushs.djsch.kr,남여공학,042-543-2387,특성화고,N,전문계,,전기,주간,19940113,19940113,20260423,False
G10,대전광역시교육청,7430290,대전도안고등학교,Daejeon Doan High School,고등학교,대전광역시,대전광역시교육청,공립,34194 ,대전광역시 유성구 원신흥남로 51,(원신흥동),042-820-8600,http://doanhs.djsch.kr,남여공학,042-820-8693,일반고,N,일반계,,전기,주간,20130301,20130301,20260423,True
G10,대전광역시교육청,7430049,대전동산고등학교,Daejeon Dongsan High School,고등학교,대전광역시,대전광역시교육청,사립,34960 ,대전광역시 중구 문화로 183,"(문화동, 대전동산중고등학교)",042-587-5214,http://djdongsanhs.djsch.kr,남,042-587-5228,일반고,N,일반계,,전기,주간,19781108,19781119,20260423,True
G10,대전광역시교육청,7430295,대전동신과학고등학교,Daejeon Dongsin Science High School,고등학교,대전광역시,대전광역시교육청,공립,34500 ,대전광역시 동구 옥천로 423,"(비룡동, 대전동신과학고등학교)",042-717-9400,http://ddsciencehs.djsch.kr,남여공학,042-717-9409,특목고,N,일반계,,전기,주간,19910912,19910912,20260423,False
G10,대전광역시교육청,7430034,대전둔산여자고등학교,Daejeon Dunsan Girls High School,고등학교,대전광역시,대전광역시교육청,공립,35231 ,대전광역시 서구 갈마역로 33,"(갈마동, 대전둔산여자고등학교)",042-479-3935,http://djdunsan-ghs.djsch.kr,여,042-488-6032,일반고,N,일반계,,전기,주간,19970612,19970612,20260423,True
G10,대전광역시교육청,7430142,대전둔원고등학교,DAejeon Dunwon High School,고등학교,대전광역시,대전광역시교육청,공립,35273 ,대전광역시 서구 대덕대로 101,(갈마동),042-530-3661,http://dunwonhs.djsch.kr,남여공학,042-538-7120,일반고,N,일반계,,후기,주간,20030301,20030320,20260423,True
G10,대전광역시교육청,7430035,대전만년고등학교,Daejeon Mannyon High School,고등학교,대전광역시,대전광역시교육청,공립,35200 ,대전광역시 서구 만년로 6,(만년동),042-479-9600,http://mannyonhs.djsch.kr,남여공학,042-488-7387,일반고,N,일반계,,전기,주간,19980305,19980305,20260423,True
G10,대전광역시교육청,7430238,대전반석고등학교,Daejeon Banseok High School,고등학교,대전광역시,대전광역시교육청,공립,34076 ,대전광역시 유성구 지족로 332,", 대전반석고등학교 (지족동)",042-602-7809,http://banseokhs.djsch.kr,남여공학,042-824-3029,일반고,N,일반계,,후기,주간,20060301,20060301,20260423,True
G10,대전광역시교육청,7430253,대전복수고등학교,Daejeon Boksu High School,고등학교,대전광역시,대전광역시교육청,공립,35409 ,대전광역시 서구 혜천로 66,", 대전복수고등학교 (복수동, 복수고등학교)",042-580-1100,http://boksuhs.djsch.kr,남여공학,042-587-0603,일반고,N,일반계,,전기,주간,20090301,20090301,20260423,True
G10,대전광역시교육청,7430329,대전생활과학고등학교,Daejeon Practical Science High School,고등학교,대전광역시,대전광역시교육청,사립,34432 ,대전광역시 대덕구 동산초교로63번길 12,(오정동),042-629-1300,http://djpshs.djsch.kr,남여공학,042-636-3607,특성화고,N,전문계,,전기,주간,19911218,19911218,20260423,False
G10,대전광역시교육청,7430051,대전성모여자고등학교,Daejeon Saint Marys Girls High School,고등학교,대전광역시,대전광역시교육청,사립,34943 ,대전광역시 중구 대흥로 62,(대흥동),042-220-7815,http://seongmohs.djsch.kr,여,042-222-4623,일반고,N,일반계,,전기,주간,19681120,19681120,20260423,True
G10,대전광역시교육청,7430132,대전송촌고등학교,Daejeon Songchon High School,고등학교,대전광역시,대전광역시교육청,공립,34404 ,대전광역시 대덕구 선비마을로23번길 11,"(송촌동,대전송촌고등학교)",042-620-7905,http://songchonhs.djsch.kr,남여공학,042-620-5909,자율고,N,일반계,,전기,주간,19990305,19990305,20260423,True
G10,대전광역시교육청,7430133,대전신일여자고등학교,Daejeon Shin-il Girls High School,고등학교,대전광역시,대전광역시교육청,사립,35058 ,대전광역시 중구 부사로 48,"(부사동, 대전신일여자고등학교)",042-221-1771,http://shinilhs.djsch.kr,여,042-221-1776,특성화고,N,전문계,,전기,주간,19781108,19781108,20260423,False
G10,대전광역시교육청,7430036,대전여자고등학교,Daejeon Girls High School,고등학교,대전광역시,대전광역시교육청,공립,34656 ,대전광역시 동구 용운로1번길 28-37,", 대전여자고등학교 (대동)",042-630-5901,http://djghs.djsch.kr,여,042-633-8846,자율고,N,일반계,,전기,주간,19370331,19370501,20260423,True
G10,대전광역시교육청,7430083,대전여자상업고등학교,Daejeon Girls Commercial High School,고등학교,대전광역시,대전광역시교육청,사립,34831 ,대전광역시 중구 대종로550번길 31,"(선화동, 대전여자상업고등학교)",042-250-8300,aramhs.djsch.kr,여,042-255-8319,특성화고,N,전문계,,전기,주간,19480401,19480401,20260423,False
G10,대전광역시교육청,7430053,대전예술고등학교,Daejeon Arts High School,고등학교,대전광역시,대전광역시교육청,사립,34198 ,대전광역시 유성구 월드컵대로308번길 33,"(상대동,대전예술고등학교)",042-825-2203,http://daejeonartshs.djsch.kr/,남여공학,042-823-9547,일반고,N,일반계,,전기,주간,19920307,19911028,20260423,True
G10,대전광역시교육청,7430037,대전외국어고등학교,Daejeon Foreign Language High School,고등학교,대전광역시,대전광역시교육청,공립,35280 ,대전광역시 서구 신갈마로 19,(내동),042-530-8000,http://djflhs.djsch.kr,남여공학,042-537-0687,특목고,N,일반계,,전기,주간,19940924,19940924,20260423,False
G10,대전광역시교육청,7430239,대전용산고등학교,Daejeon Yong-san High School,고등학교,대전광역시,대전광역시교육청,공립,34031 ,대전광역시 유성구 용산2로 2-16,"(용산동, 대전용산고등학교)",042-629-9170,http://dyshs.djsch.kr,남여공학,042-934-9695,일반고,N,일반계,,전기,주간,20060301,20060301,20260423,True
G10,대전광역시교육청,7430240,대전이문고등학교,Daejeon Imun High School,고등학교,대전광역시,대전광역시교육청,사립,34317 ,대전광역시 대덕구 석봉로 15,"(석봉동,대전이문고등학교)",042-930-0800,http://imunhs.djsch.kr,남여공학,042-932-1633,일반고,N,일반계,,전기,주간,19851128,19860305,20260423,True
G10,대전광역시교육청,7430148,대전전민고등학교,Daejeon Jeonmin High School,고등학교,대전광역시,대전광역시교육청,공립,34053 ,대전광역시 유성구 전민로 63,"(전민동, 대전전민고등학교)",042-870-0100,http://jeonminhs.djsch.kr,남여공학,042-382-0255,일반고,N,일반계,,후기,주간,20040301,20040301,20260423,True
G10,대전광역시교육청,7430311,대전전자디자인고등학교,Daejeon Electronic Design High School,고등학교,대전광역시,대전광역시교육청,공립,34058 ,대전광역시 유성구 대덕대로 939,"(화암동, 대전전자디자인고등학교)",042-611-8311,http://djedhs.djsch.kr,남여공학,042-862-9107,특성화고,N,전문계,,전기,주간,19960930,19970610,20260423,False
G10,대전광역시교육청,7430242,대전제일고등학교,Daejeon Jeil High School,고등학교,대전광역시,대전광역시교육청,사립,35339 ,대전광역시 서구 배재로46번길 77,"(도마동, 대전제일고등학교)",042-527-9661,jeilhs.djsch.kr,남여공학,042-527-9663,일반고,N,일반계,,전기,주간,19781229,19781229,20260423,True
G10,대전광역시교육청,7430052,대전중앙고등학교,Daejoen Jung-ang High School,고등학교,대전광역시,대전광역시교육청,사립,34804 ,대전광역시 중구 대종로 634,"(중촌동, 대전중앙중.고등학교)",042-220-0340,http://djjahs.djsch.kr,남,042-252-6188,일반고,N,일반계,,전기,주간,19480401,19480401,20260423,True
G10,대전광역시교육청,7430149,대전지족고등학교,Daejeon Jijok High School,고등학교,대전광역시,대전광역시교육청,공립,34082 ,대전광역시 유성구 노은서로 202,"(지족동, 지족고등학교)",042-717-1500,http://jijokhs.djsch.kr,남여공학,042-476-2710,일반고,N,일반계,,후기,주간,20040301,20040301,20260423,True
G10,대전광역시교육청,7430038,대전체육고등학교,Daejeon Physical Education High school,고등학교,대전광역시,대전광역시교육청,공립,34195 ,대전광역시 유성구 원신흥로40번길 6,"(원신흥동, 대전체육중고등학교)",042-820-5200,djcheyukhs.djsch.kr,남여공학,042-825-3446,특목고,N,일반계,,전기,주간,19721204,19721204,20260423,False
G10,대전광역시교육청,7430138,대전한빛고등학교,Daejeon Hanvit Highschool,고등학교,대전광역시,대전광역시교육청,사립,35085 ,대전광역시 중구 대둔산로 119-37,"(안영동,대전한빛고등학교)",042-581-0403,http://hanviths.djsch.kr,남여공학,042-585-2537,일반고,N,일반계,,전기,주간,20000304,20000408,20260423,True
G10,대전광역시교육청,7430039,동대전고등학교,Dong-daejeon High School,고등학교,대전광역시,대전광역시교육청,공립,34427 ,대전광역시 대덕구 청림길 33,"(중리동, 동대전고등학교)",042-630-6140,http://ddjhs.djsch.kr,남여공학,042-630-6199,일반고,N,일반계,,전기,주간,19821023,19821023,20260423,True
G10,대전광역시교육청,7430244,동방고등학교,Dongbang High School,고등학교,대전광역시,대전광역시교육청,사립,35380 ,대전광역시 서구 계백로 1106,"(관저동, 동방고등학교)",042-333-5802,http://dbhs.djsch.kr,남여공학,042-541-0289,일반고,N,일반계,,전기,주간,19800124,19800520,20260423,True
G10,대전광역시교육청,7430256,동아마이스터고등학교,DONG-AH MEISTER HIGH SCHOOL,고등학교,대전광역시,대전광역시교육청,사립,34511 ,대전광역시 동구 충정로 97,", 동아마이스터고등학교 (자양동)",042-620-1111,http://dongahs.djsch.kr,남,042-624-9010,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19771119,19771119,20260423,False
G10,대전광역시교육청,7430056,명석고등학교,Myeongseok High School,고등학교,대전광역시,대전광역시교육청,사립,34503 ,대전광역시 동구 우암로 380,", 명석고등학교 (가양동)",042-623-2111,http://mshs.djsch.kr/,남,042-621-0518,일반고,N,일반계,,전기,주간,19831121,19831121,20260423,True
G10,대전광역시교육청,7430057,보문고등학교,Bomoon High School,고등학교,대전광역시,대전광역시교육청,사립,34619 ,대전광역시 동구 우암로 57,", 보문고등학교 (삼성동, 보문고등학교,보문중학교)",042-620-6600,http://bomoonhs.djsch.kr,남,042-672-9571,일반고,N,일반계,,전기,주간,19530221,19530926,20260423,True
G10,대전광역시교육청,7430059,서대전고등학교,Seodaejeon High School,고등학교,대전광역시,대전광역시교육청,사립,35216 ,대전광역시 서구 월평동로 60,"(월평동, 서대전고등학교)",042-479-2004,http://sdjhs.djsch.kr,남,042-488-9086,일반고,N,일반계,,전기,주간,19721215,19721226,20260423,True
G10,대전광역시교육청,7430060,서대전여자고등학교,Seodaejeon Girls High School,고등학교,대전광역시,대전광역시교육청,사립,35344 ,대전광역시 서구 배재로197번길 20,"(도마동, 서대전여자고등학교)",042-520-6105,http://seodaejeonhs.djsch.kr,여,042-531-5905,일반고,N,일반계,,전기,주간,19831102,19831121,20260423,True
G10,대전광역시교육청,7430061,서일고등학교,Seoil High School,고등학교,대전광역시,대전광역시교육청,사립,35377 ,대전광역시 서구 계백로828번길 30,(관저동),042-540-5567,http://seoilhs.djsch.kr,남,042-543-4378,일반고,N,일반계,,전기,주간,19820419,19830310,20260423,True
G10,대전광역시교육청,7430062,서일여자고등학교,SEOIL GIRLS' HIGH SCHOOL,고등학교,대전광역시,대전광역시교육청,사립,35377 ,대전광역시 서구 구봉산북로 22,"(관저동, 서일여자고등학교)",042-540-7740,https://seoil-ghs.djsch.kr/,여,042-543-7429,일반고,N,일반계,,전기,주간,19871026,19880310,20260423,True
G10,대전광역시교육청,7430041,신탄진고등학교,Shintanjin High School ,고등학교,대전광역시,대전광역시교육청,공립,34308 ,대전광역시 대덕구 신탄진북로 14,(신탄진동),042-602-3800,http://shintanjinhs.djsch.kr,남여공학,042-933-0273,일반고,N,일반계,,전기,주간,19811125,19820308,20260423,True
G10,대전광역시교육청,7430140,우송고등학교,Woosong high school,고등학교,대전광역시,대전광역시교육청,사립,34609 ,대전광역시 동구 동대전로131번길 53,", 우송고등학교 (자양동)",042-620-5200,http://wshs.djsch.kr,남여공학,042-626-0061,일반고,N,일반계,,전기,주간,19540430,19541015,20260423,True
G10,대전광역시교육청,7430042,유성고등학교,Yu Seong High School,고등학교,대전광역시,대전광역시교육청,공립,34181 ,대전광역시 유성구 유성대로654번길 130,"(구암동,유성고등학교)",042-710-6199,http://yshs.djsch.kr,남,042-824-0262,일반고,N,일반계,,전기,주간,19741227,19750310,20260423,True
G10,대전광역시교육청,7430135,유성생명과학고등학교,yuseong-bio science technology high school,고등학교,대전광역시,대전광역시교육청,공립,34197 ,대전광역시 유성구 월드컵대로 270,"(구암동,유성생명과학고등학교)",042-539-5815,http://ysbsths.djsch.kr/,남여공학,042-822-7923,특성화고,N,전문계,,전기,주간,19510830,19510830,20260423,False
G10,대전광역시교육청,7430064,유성여자고등학교,Yuseong Girls' High School,고등학교,대전광역시,대전광역시교육청,사립,34097 ,대전광역시 유성구 은구비로138번길 70,", 유성여자고등학교 (죽동)",042-820-1195,http://yuseongghs.djsch.kr,여,042-820-1199,일반고,N,일반계,,전기,주간,19730620,19740307,20260423,True
G10,대전광역시교육청,7430065,중일고등학교,Jung il High School,고등학교,대전광역시,대전광역시교육청,사립,34023 ,대전 유성구 배울2로 68,"(관평동,중일고등학교)",042-935-0356,http://jungilhs.djsch.kr,남여공학,042-935-7919,일반고,N,일반계,,전기,주간,19880108,19880315,20260423,True
G10,대전광역시교육청,7430066,청란여자고등학교,Cheongran Girls High School,고등학교,대전광역시,대전광역시교육청,사립,35051 ,대전광역시 중구 보문로95번길 40,", 청란여자고등학교 (부사동)",042-253-8842,http://chranhs.djsch.kr,여,042-253-6928,일반고,N,일반계,,전기,주간,19620307,19620413,20260423,True
G10,대전광역시교육청,7430043,충남고등학교,Chungnam High School,고등학교,대전광역시,대전광역시교육청,공립,35249 ,대전광역시 서구 문정로 171,"(둔산동,충남고등학교)",042-488-8013,http://chungnamhs.djsch.kr,남,042-488-8019,자율고,N,일반계,,전기,주간,19620303,19620303,20260423,True
G10,대전광역시교육청,7430073,충남기계공업고등학교,ChungNam Mechanical Technical High School,고등학교,대전광역시,대전광역시교육청,공립,34999 ,대전광역시 중구 산성로 154,(문화동),042-580-2114,http://chungnam-mhhs.djsch.kr/,남,042-586-7700,특성화고,N,전문계,,전기,주간,19630209,19630306,20260423,False
G10,대전광역시교육청,7430044,충남여자고등학교,Chungnam Girls' High School,고등학교,대전광역시,대전광역시교육청,공립,34849 ,대전광역시 중구 선화로43번길 77,"(목동,충남여자고등학교)",042-229-3100,http://cnghs.djsch.kr,여,042-257-8444,일반고,N,일반계,,전기,주간,19691222,19691222,20260423,True
G10,대전광역시교육청,7430045,한밭고등학교,Hanbat High School,고등학교,대전광역시,대전광역시교육청,공립,35277 ,대전광역시 서구 신갈마로141번길 58,"(갈마동, 한밭고등학교)",042-601-6152,http://hanbaths.djsch.kr,남여공학,042-536-6441,일반고,N,일반계,,전기,주간,19821023,19821023,20260423,True
G10,대전광역시교육청,7430067,호수돈여자고등학교,Holston Girls High School,고등학교,대전광역시,대전광역시교육청,사립,34859 ,대전광역시 중구 선화로 50,"(용두동,호수돈여자중.고등학교)",042-221-2612,http://holstonhs.djsch.kr,여,042-252-0397,일반고,N,일반계,,전기,주간,18991219,19090515,20260423,True
