연번,도서관 기본정보,,,,,,,,,,,,,,,,,,,,,,,,,,,도서관서비스 협력(지원) 기관 현황,,,,,,,,소장자료(도서_인쇄/국내서),,,,,,,,,,,소장자료(도서_인쇄/국외서),,,,,,,,,,,소장자료(지역자료 등),,소장자료(비도서),,소장자료(전자자료),,,,,,,,,,소장자료(연속),,소장자료(연간 증가 및 제적 수),,,,,,,,,,,,시설 현황,,,,,,,,,,,직원현황(도서관장),,,,,,,직원구성현황,,,,,,,,,,,,,,,,지원인력현황,,,,직원_사서자격증 보유 유무,,,,,,정규 직원 교육 현황,,,,,,,,,,,,결산액(2025년도),,,예산액_(2026년도),,,,,,,,,,개관현황,,회원등록 및 이용자 수,,,,,봉사대상지역 및 대상자수,,,,대출/이용자 수(연령별),,,,,,,,대출/이용 수_인쇄자료(연령별/주제별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대출/이용 수_전자자료(연령별/주제별),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,정보서비스 및 상호협력,,,,,,,이용자 교육,,,,,,프로그램(오프라인),,,,,,,,프로그램(온라인),,,,,,,,도서관 동아리,,,,,,지식정보취약계층 대상 특수자료 수,,,,,,,,,지식정보취약계층 봉사대상자 수,,,지식정보취약계층 서비스 이용 수(건),,,지식정보취약계층 관련 예산(천원),,,지식정보취약계층_공간,,,지식정보취약계층_프로그램,,,어린이서비스,,,
,도서관명,구분,지역,시군구,설립주체,"설립
기관명",운영방식,"운영
기관명",분관내용,개관년도,주소,상세주소,전화번호,팩스,홈페이지,개관시간,휴관일,"상위
본관명",분류체계,목록형식_국내서,목록형식_국외서,목록규칙_국내서,목록규칙_국외서,저자기호_국내서,저자기호_국외서,도서관코드,"도서관
부호
(실제)","이동
도서관_
도서관수","이동
도서관_
장서수","이동
도서관_
이용자수","작은
도서관_
협력
도서관수","작은
도서관_
협력
인력수","작은
도서관_
협력
예산액","작은
도서관_
협력
장서수","작은
도서관_
협력
프로그램수","국내서_
총류","국내서_
철학","국내서_
종교","국내서_
사회과학","국내서_
순수과학","국내서_
기술과학","국내서_
예술","국내서_
언어","국내서_
문학","국내서_
역사","국내서_
합계","국외서_
총류","국외서_
철학","국외서_
종교","국외서_
사회과학","국외서_
순수과학","국외서_
기술과학","국외서_
예술","국외서_
언어","국외서_
문학","국외서_
역사","국외서_
합계",지역자료,"고서·
귀중본","비도서_
시청각
자료","비도서_
기타","소장형
(영구접속)_전자저널","기간
구독형_전자저널","소장형
(영구접속)_전자도서","기간
구독형_
전자도서","소장형
(영구접속)_오디오북","기간
구독형_
오디오북","소장형
(영구접속)_웹데이터베이스","기간
구독형_
웹데이터베이스","소장형
(영구접속)_기타","기간
구독형_
기타","국내_
연속
간행물","국외_
연속
간행물","연간증가자료수_
도서자료_구입","연간증가자료수_
도서자료_기증","연간증가자료수_
비도서_
구입","연간증가자료수_
비도서_
기증","연간증가자료수_
전자자료_구입","연간증가자료수_
전자자료_기증","연간증가자료수_
연속간행물_구입","연간증가자료수_
연속간행물_기증","연간제적자료수_
도서자료","연간제적자료수_
비도서","연간제적자료수_
전자자료","연간제적자료수_
연속간행물","면적_
도서관 
부지 면적","면적_
도서관 
건물연면적","면적_
도서관 
서비스
제공 면적",좌석수_총 좌석수,"좌석수_
어린이 
열람석","좌석수_
노인 및 장애인 
열람석","설비_
이용자용컴퓨터수","설비_무선
인터넷
설치유무","설비_
시스템
구축현황",설비_무인자동대출/반납기,"설비_
모바일
도서관
서비스",도서관장 유무,"도서관장_직렬
(대구분)","도서관장_직렬
(소구분)","도서관장_직렬
(기타)",도서관장_직급,"도서관장_직급
(기타)","도서관장_사서
자격증","정규직_
사서직_
현원_남","정규직_
사서직_
현원_여","정규직_
사서직_
정원","정규직_
행정직_
현원_남","정규직_
행정직_
현원_여","정규직_
행정직_
정원","정규직_
전산직_
현원_남","정규직_
전산직_
현원_여","정규직_
전산직_
정원","정규직_
기타_
현원_남","정규직_
기타_
현원_여","정규직_
기타_정원","비정규직_사서자격증
소지자_
현원_남","비정규직_사서자격증
소지자_
현원_여","비정규직_기타_
현원_남","비정규직_기타_
현원_여","자원
봉사자_남","자원
봉사자_여",기타 지원인력_남,기타 지원인력_여,"1급
정사서_남","1급
정사서_여","2급
정사서_남","2급
정사서_여",준사서_남,준사서_여,"사서직_
전문교육_교육건수","사서직_
전문교육_교육시간","사서직_
전문교육_교육참가자수","사서직_
일반교육_교육건수","사서직_
일반교육_교육시간","사서직_
일반교육_교육참가자수","일반직_
전문교육_교육건수","일반직_
전문교육_교육시간","일반직_
전문교육_교육참가자수","일반직_
일반교육_교육건수","일반직_
일반교육_교육시간","일반직_
일반교육_교육참가자수",인건비,"자료
구입비",운영비,"인건비_
정규직","인건비_
비정규직등 기타","자료
구입비_
도서","자료
구입비_
비도서","자료
구입비_
전자자료_공동","자료
구입비_
전자자료자체(개별)","자료
구입비_
연속간행물","운영비_
원문DB
구축 및 
정보화관련","운영비_
프로그램","운영비_
기타사업비총액","연간 
총개관
일수",주당평균개관시간,"회원
등록자 수_어린이","회원
등록자 수_청소년","회원
등록자 수_성인","가족단위회원
등록수
(어린이 도서관만 해당)","이용자수_도서관
방문자수",봉사대상지역,"봉사
대상자수_어린이","봉사
대상자수_청소년","봉사
대상자수_성인",인쇄자료_대출자 수_어린이,인쇄자료_대출자 수_청소년,인쇄자료_대출자 수_성인,인쇄자료_대출자 수_합계,전자자료_이용자 수_어린이,전자자료_이용자 수_청소년,전자자료_이용자 수_성인,전자자료_이용자 수_합계,"인쇄자료_어린이_
총류","인쇄자료_어린이_
철학","인쇄자료_어린이_
종교","인쇄자료_어린이_
사회과학","인쇄자료_어린이_
순수과학","인쇄자료_어린이_
기술과학","인쇄자료_어린이_
예술","인쇄자료_어린이_
언어","인쇄자료_어린이_
문학","인쇄자료_어린이_
역사","인쇄자료_어린이_
합계","인쇄자료_청소년_
총류","인쇄자료_청소년_
철학","인쇄자료_청소년_
종교","인쇄자료_청소년_
사회과학","인쇄자료_청소년_
순수과학","인쇄자료_청소년_
기술과학","인쇄자료_청소년_
예술","인쇄자료_청소년_
언어","인쇄자료_청소년_
문학","인쇄자료_청소년_
역사","인쇄자료_청소년_
합계","인쇄자료_성인_
총류","인쇄자료_성인_
철학","인쇄자료_성인_
종교","인쇄자료_성인_
사회과학","인쇄자료_성인_
순수과학","인쇄자료_성인_
기술과학","인쇄자료_성인_
예술","인쇄자료_성인_
언어","인쇄자료_성인_
문학","인쇄자료_성인_
역사","인쇄자료_성인_
합계","전자자료_어린이_
총류","전자자료_어린이_
철학","전자자료_어린이_
종교","전자자료_어린이_
사회과학","전자자료_어린이_
순수과학","전자자료_어린이_
기술과학","전자자료_어린이_
예술","전자자료_어린이_
언어","전자자료_어린이_
문학","전자자료_어린이_
역사","전자자료_어린이_
합계","전자자료_청소년_
총류","전자자료_청소년_
철학","전자자료_청소년_
종교","전자자료_청소년_
사회과학","전자자료_청소년_
순수과학","전자자료_청소년_
기술과학","전자자료_청소년_
예술","전자자료_청소년_
언어","전자자료_청소년_
문학","전자자료_청소년_
역사","전자자료_청소년_
합계","전자자료_성인_
총류","전자자료_성인_
철학","전자자료_성인_
종교","전자자료_성인_
사회과학","전자자료_성인_
순수과학","전자자료_성인_
기술과학","전자자료_성인_
예술","전자자료_성인_
언어","전자자료_성인_
문학","전자자료_성인_
역사","전자자료_성인_
합계",자체 상호대차 협력도서관 수_공공도서관,자체 상호대차 협력도서관 수_작은도서관,"상호대차
의뢰 및 제공책수_의뢰","상호대차
의뢰 및 제공책수_제공",정보서비스의뢰 및 제공건수_의뢰,정보서비스의뢰 및 제공건수_제공,"홈페이지
접속 수",오프라인_교육횟수,오프라인_교육시간,오프라인_교육 참가자 수,온라인_교육횟수,온라인_교육시간,온라인_교육 참가자 수,"오프라인_문화
프로그램_정기강좌 수","오프라인_문화
프로그램_정기강좌_참가자수","오프라인_문화
프로그램_
1회성 프로그램 수","오프라인_문화
프로그램_
1회성 프로그램_참가자수","오프라인_도서관.독서
프로그램_
정기강좌
수","오프라인_도서관.독서
프로그램_
정기강좌_
참가자수","오프라인_도서관.독서
프로그램_
1회성 프로그램 수","오프라인_도서관.독서
프로그램_
1회성 프로그램_참가자수","온라인_문화
프로그램_정기강좌
수","온라인_문화
프로그램_정기강좌_참가자수","온라인_문화
프로그램_
1회성 프로그램
수","온라인_문화
프로그램_
1회성 프로그램_참가자수","온라인_도서관
프로그램_정기강좌
수","온라인_도서관
프로그램_정기강좌_참가자수","온라인_도서관
프로그램_
1회성 프로그램
수","온라인_도서관
프로그램_
1회성 프로그램_참가자수","독서_
동아리 수","학습_
동아리 수","기타_
동아리 수","독서_
동아리 
회원 수","학습_
동아리 
회원 수","기타_
동아리 
회원 수","장애인_
인쇄용자료","장애인_
비도서자료","장애인_
전자자료","노인_
인쇄용자료","노인_
비도서자료","노인_
전자자료","다문화_
인쇄용자료","다문화_
비도서자료","다문화_
전자자료","봉사
대상자수_장애인","봉사
대상자수_노인","봉사
대상자수_다문화
(7월 중
보완예정)","취약계층_서비스 
이용 건수_장애인","취약계층_서비스 
이용 건수_노인","취약계층_서비스 
이용 건수_다문화",취약계층_관련예산_장애인,취약계층_관련예산_노인,취약계층_관련예산_다문화,"취약계층_공간_
장애인","취약계층_공간_
노인","취약계층_공간_
다문화",취약계층_프로그램_장애인,취약계층_프로그램_노인,취약계층_프로그램_다문화,어린이실,"어린이 
서비스 
이용수","어린이 
자료
(인쇄)수","어린이 
연간 증가 자료
(인쇄)수"
7,갈마도서관,공공(일반),대전,서구,지자체,대전광역시 서구,직영,,본관,1994,대전광역시 서구 신갈마로127번길 138 (갈마동),갈마도서관,042-288-4740,042-288-5936,https://www.seogu.go.kr/learning/galmalib/index.do,동절기:08:00~22:00 하절기:07:00~22:00,"매주 월요일, 국경일 및 국가지정 공휴일",,KDC6판,통합KOMARC,통합KOMARC,KCR 4판,KCR4판,동양서저자기호표,cutter sanborn Table,2060125007,125004,1,500,2837,3,1,0,0,0,8401,9926,4444,31127,11712,13027,6897,5437,84779,13875,189625,260,12,66,670,1067,113,91,2479,10049,380,15187,51,0,7488,0,0,0,4102,0,387,0,0,0,0,4,54,0,6194,410,0,0,805,0,54,0,8000,0,0,53,1488,2706,1281,515,66,8,26,유,RFID 시스템,3,유,유(전임),공무원,사서직,,6급,,유,1,2,4,1,0,1,1,1,1,2,0,4,0,2,2,3,77,47,4,5,0,1,1,3,0,0,8,16,4,81,214,4,0,0,0,146,456,4,901898,127149,721711,544305,434974,100800,1890,0,0,6840,17359,104420,150340,298,91,551,953,11022,,346073,대전광역시 서구,45815,27973,389563,418,723,8356,9497,241,46,602,889,1642,652,805,2947,6651,1770,679,3460,27083,3397,49086,247,292,92,764,2523,1926,181,418,4927,531,11901,4716,5767,2233,14782,12145,9797,2917,6170,70121,7803,136451,4,6,2,16,50,38,4,8,108,5,241,1,2,1,7,10,5,1,2,15,2,46,135,165,125,805,315,645,135,195,3237,225,5982,4,0,533,1650,32132,32132,137738,5,10,60,0,0,0,159,2432,5,139,191,2880,22,5991,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,1133,0,0,0,0,0,20310,80949,,1129,17592,207,0,3738,1200,자료실내 코너,자료실내 코너,미설치,미운영,운영,운영,유,61388,86869,3321
24,관평도서관,공공(일반),대전,유성구,지자체,대전광역시 유성구,위탁,충남대학교 산학협력단,본관,2015,대전광역시 유성구 테크노4로 131 (관평동),관평도서관,042-716-0350,042-716-0359,https://lib.yuseong.go.kr,"종합자료실 화/수/목/금 09:00~22:00, 토/일 09:00~18:00
어린이자료실 화/수/목/금/토/일 09:00~18:00
열람실 화/수/목/금/토/일 08:00~22:00","매주 월요일, 법정 공휴일, 근로자의 날",, KDC,KORMARC,KORMARC,KCR4,한국목록규칙KCR4,동양서저자기호 제5표,Cutter-Sanborn Table,2060125023,130023,0,0,0,0,0,0,0,0,1994,1984,556,5383,3637,2945,1395,1029,16380,3380,38683,31,17,4,65,70,36,77,438,1267,34,2039,215,0,226,0,0,0,0,1681,0,0,0,0,0,0,47,1,3465,147,0,10,530,0,7,0,30,0,27,7,808.8,2029.25,640.93,166,37,2,7,유,바코드와 RFID 병행 적용,1,유,유(전임),비공무원,,,기타(직접입력),사서 7급 상당,유,1,5,6,0,0,0,0,0,0,0,0,0,0,1,0,3,75,88,3,4,0,0,1,6,0,0,116,441,6,95,226,6,0,0,0,0,0,0,368379,58456,353067,304100,83324,50000,0,0,0,8460,23710,38800,305581,297,70,3008,2402,15627,,227617,대전광역시 유성구,44085,22748,300701,1875,820,7612,10307,26,0,3,29,1084,710,734,2665,5403,2001,987,1848,18077,3280,36789,235,268,79,630,955,374,123,220,3408,432,6724,2617,3267,1349,8268,8144,5009,2188,3265,37835,5969,77911,0,0,0,0,0,0,0,0,222,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,10,0,9985,9159,4628,4628,474820,18,18,291,0,0,0,5,570,3,874,9,3423,3,1819,0,0,0,0,0,0,0,0,8,0,0,114,0,0,643,0,0,92,0,0,114,0,0,12488,49193,,398,1077,2,138,816,89,자료실내 코너,자료실내 코너,자료실내 코너,미운영,운영,미운영,유,88391,20631,1470
31,구암도서관,공공(일반),대전,유성구,지자체,대전광역시 유성구,직영,,본관,2013,대전광역시 유성구 유성대로626번길 57 (구암동),(구암동 621-7) 구암도서관,042-611-6617,042-611-2876,http://lib.yuseong.go.kr/,09:00 ~ 22:00,"일요일 및 국경일, 정부 지정 공휴일",,KDC6판,KORMARC(통합서지용),KORMARC(통합서지용),,KCR4,동양서저자기호,Cutter Sanborn figure author table,2060125022,130022,0,0,0,7,2,444014,0,0,2378,3774,928,8918,4851,3360,2056,1450,25718,4554,57987,110,24,22,84,54,91,16,641,1860,92,2994,5,0,0,0,0,0,0,1681,0,0,0,0,0,0,44,1,3503,10,0,0,530,0,0,0,4326,0,27,0,2486.4,916.11,332.7,158,25,2,12,유,바코드와 RFID 병행 적용,1,유,유(겸임),공무원,사서직,,5급,,유,0,4,4,0,1,1,0,0,0,0,3,3,0,1,0,3,354,274,0,2,0,1,0,5,0,0,3,6,2,118,116,5,0,0,0,42,112,2,488815,60000,66000,639256,53870,50000,0,15000,0,8460,0,0,91818,295,78,441,420,3637,,127200,대전광역시 유성구,44085,22748,300701,1834,723,7976,10533,1,0,0,1,714,543,338,2186,4932,1213,291,1617,18850,2697,33381,237,226,52,629,901,295,114,204,2789,415,5862,2222,3465,1052,8078,7182,4176,1309,2655,39559,5060,74758,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12999,12131,5,5,473794,0,0,0,0,0,0,0,0,0,0,0,0,8,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,785,0,0,12488,49193,,376,14706,0,0,1750,0,미설치,자료실내 코너,자료실내 코너,운영,운영,미운영,유,54493,32496,1517
32,구즉도서관,공공(일반),대전,유성구,지자체,유성구청,직영,평생학습원,본관,2003,대전광역시 유성구 와룡로37번길 20 (송강동),구즉도서관,042-611-6510,042-611-2665,https://lib.yuseong.go.kr/index.php,동절:오전8시~오후10시/하절:오전8시~오후10시,"매주월요일, 국경일",,KDC5판,KORMARC,KORMARK,KCR,,동양서저자기호 제5표,,2060125011,125013,0,0,0,0,0,0,0,0,4073,4155,1709,12368,7856,6102,3473,3045,40019,9609,92409,233,17,10,133,148,31,16,632,1761,149,3130,10,0,2936,0,0,0,0,1681,0,0,0,0,0,0,49,1,3448,29,0,0,530,0,3,0,6825,0,27,4,2967,1496.13,867.46,115,33,8,14,유,RFID 시스템,1,유,유(전임),공무원,사서직,,6급,,유,0,2,2,1,1,2,0,0,0,1,0,1,0,0,3,7,125,74,3,3,0,0,0,3,0,0,10,44,2,36,93,2,0,0,0,60,105,3,572517,67384,183843,257502,317018,60000,0,0,0,8460,0,31160,173105,297,70,1183,738,6171,,132761,대전광역시 유성구,44085,22748,300701,1767,668,7759,10194,26,0,3,29,676,427,368,2104,5075,1687,372,1947,18577,3184,34417,94,121,23,326,534,259,53,114,2577,339,4440,2103,3004,991,8234,8183,5258,1386,3649,39102,6247,78157,0,0,0,0,0,0,0,0,222,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,8,0,14132,13578,22657,22657,473794,10,10,172,0,0,0,136,4162,6,905,54,908,7,436,0,0,0,0,0,0,0,0,5,0,0,58,0,0,0,0,0,485,0,0,556,0,0,12488,49193,,372,13719,0,0,924,0,자료실내 코너,자료실내 코너,자료실내 코너,미운영,미운영,미운영,유,49211,50782,1540
47,노은도서관,공공(일반),대전,유성구,지자체,유성구,직영,,본관,2010,대전광역시 유성구 노은동로234번길 34 (지족동),노은도서관,042-611-6612,042-611-2733,http://lib.yuseong.go.kr/,"열람실 화/수/목/금/토/일 08:00~22:00
종합자료실 화/수/목/금 09:00~22:00, 토/일 09:00~18:00
어린이자료실 화/수/목/금/토/일 09:00~18:00
디지털실 화/수/목/금/토/일 09:00~18:00","매주 월요일, 법정공휴일",,,한국목록자동화목록형식(KORMARC),한국목록자동화목록형식(KORMARC),한국목록자동화목록형식(MARC),한국목록자동화목록형식(MARC),,,2060125019,130012,0,0,0,0,0,0,0,0,4496,5321,1842,14448,6996,7160,3499,2509,38459,7231,91961,7,22,3,362,85,12,15,868,1887,57,3318,9,0,2199,0,0,0,0,1681,0,0,0,0,0,0,52,1,4686,78,0,0,530,0,5,0,6677,0,27,5,7523,3355,2010.49,259,56,6,7,유,RFID 시스템,2,유,유(전임),공무원,사서직,,6급,,유,1,4,5,0,0,0,0,0,0,1,0,1,0,2,2,3,1093,712,2,8,0,0,1,6,0,0,9,43,5,103,218,5,0,0,0,24,60,1,592320,87354,525508,358582,267955,70000,0,0,0,8460,0,212800,1291356,297,70,8946,3109,24608,,300472,대전광역시 유성구,44085,22748,300701,2420,1469,12115,16004,32,7,4,43,1841,1005,1009,4889,7468,2729,870,2614,29259,5044,56728,415,547,123,1371,1515,910,306,302,7289,941,13719,4723,8205,2976,21679,14120,10470,3641,5477,79144,11151,161586,0,6,2,35,38,13,2,0,224,23,343,0,0,0,4,1,0,0,0,59,2,66,1,11,2,41,1,6,0,5,21,28,116,10,0,10053,9597,91196,91196,473794,18,18,433,0,0,0,1,404,17,4442,18,3144,23,20542,0,0,0,0,0,0,0,0,8,0,0,118,0,0,0,0,0,313,0,0,440,0,0,12488,49193,,674,36210,0,0,3106,0,자료실내 코너,자료실내 코너,자료실내 코너,미운영,운영,미운영,유,114488,43213,2108
67,둔산도서관,공공(일반),대전,서구,지자체,대전광역시 서구,직영,서구,본관,2007,대전광역시 서구 청사로 263 (둔산동),둔산도서관,042-288-4800,042-288-5938,http://www.seogu.go.kr/learning/dunsanlib/index.do,"동절기 08:00~22:00, 하절기 07:00~22:00","매주 월요일, 법정공휴일",,KDC6판,통합KORMARC,통합KORMARC,KCR4판,KCR4판,동양서저자기호표,cutter sanborn Table,2060125014,130006,0,0,0,0,0,0,0,0,5541,6724,2711,21791,12295,9164,4677,4095,61983,12046,141027,56,22,4,57,73,23,16,1711,2777,182,4921,0,0,1548,436,0,0,4102,0,387,0,0,0,0,4,43,0,6537,276,20,0,805,0,0,0,9000,105,0,0,999.9,2367,699,340,60,10,17,유,RFID 시스템,5,유,유(전임),공무원,사서직,,6급,,유,1,2,3,1,1,2,0,0,0,2,0,2,1,1,2,5,65,58,10,7,0,0,1,4,0,0,10,45,3,66,213,3,0,0,0,68,173,4,674267,122343,391770,476266,321184,110400,2789,0,0,6840,17359,49610,150339,298,62,1088,1585,11617,,364284,대전광역시 서구,45815,27973,389563,1578,1005,7770,10353,241,46,602,889,2203,994,978,6178,8972,3030,1002,2676,37511,5477,69021,890,647,148,2678,1893,748,480,631,8462,1428,18005,5740,5916,2544,21680,16743,10270,3639,5424,84523,11157,167636,4,6,2,16,50,38,4,8,108,5,241,1,2,1,7,10,5,1,2,15,2,46,135,165,125,805,315,645,135,195,2351,225,5096,4,0,2481,855,15002,15002,0,17,17,275,0,0,0,8,2239,11,338,23,4010,12,5336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,20310,80949,,101,10845,155,0,7567,1200,미설치,자료실내 코너,자료실내 코너,미운영,운영,운영,유,154835,70964,3153
