학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000012388,동대전고등학교,고등학교,1983-03-10,공립,본교,운영,대전광역시 대덕구 중리동 234-3,대전광역시 대덕구 청림길 33,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.35628714,127.4236428,2026-03-20
B000013532,대전여자고등학교,고등학교,1937-05-01,공립,본교,운영,대전광역시 동구 대동 16-2,대전광역시 동구 용운로1번길 28-37,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33001268,127.4463707,2026-03-20
B000012386,중일고등학교,고등학교,1988-03-15,사립,본교,운영,대전광역시 유성구 관평동 671,대전광역시 유성구 배울2로 68,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.42052491,127.3886965,2026-03-20
B000013537,서대전여자고등학교,고등학교,1984-03-02,사립,본교,운영,대전광역시 서구 도마동 420-3,대전광역시 서구 배재로197번길 20,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.32773715,127.369556,2026-03-20
B000012380,대전지족고등학교,고등학교,2004-03-01,공립,본교,운영,대전광역시 유성구 지족동 857,대전광역시 유성구 노은서로 202,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.37803212,127.3156568,2026-03-20
B000012374,서대전고등학교,고등학교,1972-12-26,사립,본교,운영,대전광역시 서구 월평동 307,대전광역시 서구 월평동로 60,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.36013353,127.3695006,2026-03-20
B000012367,대전둔원고등학교,고등학교,2003-03-01,공립,본교,운영,대전광역시 서구 갈마동 1243,대전광역시 서구 대덕대로 101,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34283137,127.3733872,2026-03-20
B000012365,대전둔산여자고등학교,고등학교,1997-03-01,공립,본교,운영,대전광역시 서구 갈마동 823,대전광역시 서구 갈마역로 33,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.35297303,127.3732835,2026-03-20
B000012389,대전이문고등학교,고등학교,1986-03-05,사립,본교,운영,대전광역시 대덕구 석봉동 311-1,대전광역시 대덕구 석봉로 15,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.44731214,127.4234779,2026-03-20
B000012383,대전용산고등학교,고등학교,2006-03-01,공립,본교,운영,대전광역시 유성구 용산동 658,대전광역시 유성구 용산2로 2-16,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.42100777,127.3959054,2026-03-20
B000012353,대전가오고등학교,고등학교,2007-03-02,공립,본교,운영,대전광역시 동구 가오동 427,대전광역시 동구 신기로 71,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.3106602,127.4544751,2026-03-20
B000011463,유성생명과학고등학교,고등학교,1951-09-28,공립,본교,운영,대전광역시 유성구 상대동 553,대전광역시 유성구 월드컵대로 270,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34711665,127.3299616,2026-03-20
B000012355,보문고등학교,고등학교,1953-09-26,사립,본교,운영,대전광역시 동구 삼성동 283-58,대전광역시 동구 우암로 57,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33697696,127.4241257,2026-03-20
B000012373,대전대신고등학교,고등학교,1968-03-01,사립,본교,운영,대전광역시 서구 복수동 283-1,대전광역시 서구 오량1길 98,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.30895881,127.3800491,2026-03-20
B000012385,유성여자고등학교,고등학교,1974-03-07,사립,본교,운영,대전광역시 유성구 죽동 305,대전광역시 유성구 은구비로138번길 70,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.38458956,127.3289254,2026-03-20
B000011842,대전과학고등학교,고등학교,1984-03-07,공립,본교,운영,대전광역시 유성구 구성동 19-2,대전광역시 유성구 과학로 46,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.37419466,127.3714358,2026-03-20
B000012377,동방고등학교,고등학교,1980-03-07,사립,본교,운영,대전광역시 서구 관저동 7-1,대전광역시 서구 계백로 1106,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.30033708,127.3462432,2026-03-20
B000012354,명석고등학교,고등학교,1984-03-01,사립,본교,운영,대전광역시 동구 가양동 116,대전광역시 동구 우암로 380,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.35298746,127.4542462,2026-03-20
B000012370,대전괴정고등학교,고등학교,2006-03-01,공립,본교,운영,대전광역시 서구 괴정동 120,대전광역시 서구 가장로 15,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34040306,127.3788431,2026-03-20
B000012356,우송고등학교,고등학교,1954-04-17,사립,본교,운영,대전광역시 동구 자양동 226-2,대전광역시 동구 동대전로131번길 53,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33562875,127.4428489,2026-03-20
B000012379,유성고등학교,고등학교,1975-03-10,공립,본교,운영,대전광역시 유성구 구암동 613-9,대전광역시 유성구 유성대로654번길 130,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34921738,127.334775,2026-03-20
B000012361,대전성모여자고등학교,고등학교,1969-03-05,사립,본교,운영,대전광역시 중구 대흥동 520-1,대전광역시 중구 대흥로 62,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.32246468,127.4182965,2026-03-20
B000011456,대전대성여자고등학교,고등학교,1964-12-05,사립,본교,운영,대전광역시 동구 가양동 309-3,대전광역시 동구 대성2길 20,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.3377246,127.4405277,2026-03-20
B000013538,대전노은고등학교,고등학교,2003-03-01,공립,본교,운영,대전광역시 유성구 노은동 537-1,대전광역시 유성구 노은동로 99,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.36939669,127.3232157,2026-03-20
B000011464,대전도시과학고등학교,고등학교,1994-03-01,공립,본교,운영,대전광역시 유성구 원내동 404,대전광역시 유성구 진잠로42번길 35,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.29751392,127.3199445,2026-03-20
B000013533,대전동신과학고등학교,고등학교,1991-09-04,공립,본교,운영,대전광역시 동구 비룡동 555-1,대전광역시 동구 옥천로 423,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33285837,127.4743002,2026-03-20
B000012387,신탄진고등학교,고등학교,1982-03-08,공립,본교,운영,대전광역시 대덕구 신탄진동 149-5,대전광역시 대덕구 신탄진북로 14,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.44970668,127.4359505,2026-03-20
B000013536,충남고등학교,고등학교,1962-03-03,공립,본교,운영,대전광역시 서구 둔산동 1513,대전광역시 서구 문정로 171,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34997951,127.3942722,2026-03-20
B000011462,대전전자디자인고등학교,고등학교,1996-06-05,공립,본교,운영,대전광역시 유성구 화암동 174,대전광역시 유성구 대덕대로 939,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.41294348,127.3770167,2026-03-20
B000011455,계룡디지텍고등학교,고등학교,1949-10-15,사립,본교,운영,대전광역시 동구 삼성동 104-1,대전광역시 동구 소랑길 64,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33762549,127.4344749,2026-03-20
B000012378,대전제일고등학교,고등학교,1979-04-06,사립,본교,운영,대전광역시 서구 도마동 155-20,대전광역시 서구 배재로46번길 77,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.31331472,127.3723589,2026-03-20
B000011461,대덕소프트웨어마이스터고등학교,고등학교,1992-03-05,공립,본교,운영,대전광역시 유성구 장동 23-9,대전광역시 유성구 가정북로 76,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.39202633,127.3630148,2026-03-20
B000011839,동아마이스터고등학교,고등학교,1978-03-07,사립,본교,운영,대전광역시 동구 자양동 2,대전광역시 동구 충정로 97,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.34466315,127.4545998,2026-03-20
B000011843,대전예술고등학교,고등학교,1992-03-02,사립,본교,운영,대전광역시 유성구 상대동 214,대전광역시 유성구 월드컵대로308번길 33,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34695405,127.33356,2026-03-20
B000012384,대전전민고등학교,고등학교,2004-03-01,공립,본교,운영,대전광역시 유성구 전민동 460-2,대전광역시 유성구 전민로 63,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.39833683,127.3983327,2026-03-20
B000012363,호수돈여자고등학교,고등학교,1900-12-10,사립,본교,운영,대전광역시 중구 선화동 884,대전광역시 중구 선화로 50,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.32671701,127.4144851,2026-03-20
B000013539,대전송촌고등학교,고등학교,1999-03-05,공립,본교,운영,대전광역시 대덕구 송촌동 507,대전광역시 대덕구 선비마을로23번길 11,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.36346301,127.4459274,2026-03-20
B000012368,대전구봉고등학교,고등학교,2004-03-03,공립,본교,운영,대전광역시 서구 관저동 1155,대전광역시 서구 관저서로 36,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.29557493,127.3310026,2026-03-20
B000011459,대전신일여자고등학교,고등학교,1978-11-08,사립,본교,운영,대전광역시 중구 부사동 379-1,대전광역시 중구 부사로 48,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.30866941,127.4334058,2026-03-20
B000012362,청란여자고등학교,고등학교,1962-04-13,사립,본교,운영,대전광역시 중구 부사동 437-2,대전광역시 중구 보문로95번길 40,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.31073792,127.4295277,2026-03-20
B000012372,대전복수고등학교,고등학교,2009-03-01,공립,본교,운영,대전광역시 서구 복수동 376-2,대전광역시 서구 혜천로 66,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.30377161,127.3735857,2026-03-20
B000012382,대덕고등학교,고등학교,1981-03-11,공립,본교,운영,대전광역시 유성구 도룡동 384,대전광역시 유성구 대덕대로556번길 158,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.38757339,127.3816844,2026-03-20
B000011840,대전외국어고등학교,고등학교,1994-09-24,공립,본교,운영,대전광역시 서구 내동 220-13,대전광역시 서구 신갈마로 19,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.33658566,127.3656242,2026-03-20
B000011841,대전체육고등학교,고등학교,1976-03-01,공립,본교,운영,대전광역시 유성구 원신흥동 330,대전광역시 유성구 원신흥로40번길 6,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.33651309,127.3406536,2026-03-20
B000012375,서일고등학교,고등학교,1983-03-10,사립,본교,운영,대전광역시 서구 관저동 1978,대전광역시 서구 계백로828번길 30,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.29332636,127.3236362,2026-03-20
B000012366,한밭고등학교,고등학교,1983-03-10,공립,본교,운영,대전광역시 서구 갈마동 370-1,대전광역시 서구 신갈마로141번길 58,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34649685,127.3643986,2026-03-20
B000012357,충남여자고등학교,고등학교,1970-03-06,공립,본교,운영,대전광역시 중구 목동 126,대전광역시 중구 선화로43번길 77,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.32974636,127.4112877,2026-03-20
B000011457,충남기계공업고등학교,고등학교,1963-03-06,공립,본교,운영,대전광역시 중구 문화동 391,대전광역시 중구 산성로 154,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.31199421,127.4035731,2026-03-20
B000012358,대전동산고등학교,고등학교,1978-11-19,사립,본교,운영,대전광역시 중구 문화동 361-1,대전광역시 중구 문화로 183,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.31611842,127.4044918,2026-03-20
B000011465,대전생활과학고등학교,고등학교,1992-03-01,사립,본교,운영,대전광역시 대덕구 오정동 225-7,대전광역시 대덕구 동산초교로63번길 12,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.3498313,127.4230626,2026-03-20
B000013535,대전대성고등학교,고등학교,1955-04-27,사립,본교,운영,대전광역시 중구 목동 95-1,대전광역시 중구 목동로 23,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.331971,127.4070779,2026-03-20
B000011458,대전국제통상고등학교,고등학교,1982-03-10,공립,본교,운영,대전광역시 중구 문화동 187-1,대전광역시 중구 서문로 47,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.31386261,127.4075368,2026-03-20
B000012360,대전중앙고등학교,고등학교,1948-04-01,사립,본교,운영,대전광역시 중구 중촌동 14-1,대전광역시 중구 대종로 634,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33842277,127.4147891,2026-03-20
B000011460,대전여자상업고등학교,고등학교,1948-04-01,사립,본교,운영,대전광역시 중구 선화동 81-2,대전광역시 중구 대종로550번길 31,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.3338799,127.4216785,2026-03-20
B000023202,대전도안고등학교,고등학교,2013-03-01,공립,본교,운영,대전광역시 유성구 원신흥동 561,대전광역시 유성구 원신흥남로 51,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.33692213,127.3373195,2026-03-20
B000013534,대전고등학교,고등학교,1917-04-01,공립,본교,운영,대전광역시 중구 대흥동 320-2,대전광역시 중구 대흥로 110,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.32243054,127.423386,2026-03-20
B000012364,대전한빛고등학교,고등학교,1989-02-16,사립,본교,운영,대전광역시 중구 안영동 600,대전광역시 중구 대둔산로 119-37,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.28124455,127.3733529,2026-03-20
B000012369,대전관저고등학교,고등학교,1998-03-05,공립,본교,운영,대전광역시 서구 관저동 983,대전광역시 서구 관저북로 94,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.31080711,127.3377631,2026-03-20
B000012376,서일여자고등학교,고등학교,1987-10-26,사립,본교,운영,대전광역시 서구 관저동 1980,대전광역시 서구 구봉산북로 22,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.29429961,127.3235457,2026-03-20
B000012359,남대전고등학교,고등학교,1974-01-05,사립,본교,운영,대전광역시 중구 대사동 183,대전광역시 중구 보문로111번길 63,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.31074837,127.4278195,2026-03-20
B000012381,대전반석고등학교,고등학교,2006-03-01,공립,본교,운영,대전광역시 유성구 지족동 993,대전광역시 유성구 지족로 332,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.38691878,127.3135242,2026-03-20
B000012371,대전만년고등학교,고등학교,1998-03-05,공립,본교,운영,대전광역시 서구 만년동 9,대전광역시 서구 만년로 6,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.36726986,127.3729925,2026-03-20
